,word,theme
20,abandon,No theme
27,abduct,No theme
52,abortion,empowerement
68,abuse,violence
84,accident,No theme
94,account,No theme
100,accuse,No theme
109,acid,No theme
118,act,No theme
120,action,No theme
124,activist,empowerement
126,actor,empowerement
127,actress,female stereotypes
136,add,No theme
169,admit,No theme
174,adopt,No theme
177,adorable,female stereotypes
195,advice,No theme
206,affair,female stereotypes
207,affect,No theme
232,age,No theme
260,ahead,No theme
278,aim,No theme
290,airport,No theme
346,alia,No theme
359,alive,No theme
361,allegation,violence
362,allege,violence
364,allegedly,violence
375,allow,No theme
407,amazing,No theme
499,angry,No theme
526,anniversary,No theme
543,answer,No theme
553,anti,No theme
582,apologise,No theme
587,app,No theme
604,appoint,empowerement
660,army,No theme
669,arrest,violence
676,art,No theme
685,artist,empowerement
721,asian,No theme
736,assam,No theme
742,assault,violence
775,athlete,No theme
787,attack,violence
790,attempt,No theme
791,attend,No theme
831,author,empowerement
836,auto,No theme
864,avoid,No theme
870,award,empowerement
915,baby,female stereotypes
942,bad,No theme
958,bag,No theme
1014,ban,No theme
1122,battle,violence
1143,bear,No theme
1148,beat,violence
1153,beautiful,female stereotypes
1155,beauty,female stereotypes
1176,begin,No theme
1202,believe,No theme
1223,benefit,No theme
1337,bid,No theme
1347,bigg,No theme
1361,bill,No theme
1398,birth,female stereotypes
1417,black,No theme
1427,blame,No theme
1465,blood,violence
1473,blue,No theme
1482,board,No theme
1495,body,female stereotypes
1513,bollywood,No theme
1563,boss,empowerement
1593,box,No theme
1596,boy,No theme
1599,boyfriend,No theme
1612,brain,No theme
1624,brave,No theme
1643,breast,female stereotypes
1667,bride,female stereotypes
1682,britain,No theme
1703,brother,No theme
1736,build,No theme
1751,bully,No theme
1782,burn,violence
1789,business,empowerement
1853,camera,No theme
1860,campaign,No theme
1870,cancer,No theme
1874,candidate,No theme
1902,captain,No theme
1920,care,female stereotypes
1921,career,empowerement
1971,caste,No theme
2016,ceiling,No theme
2018,celebrate,No theme
2022,celebrity,No theme
2044,ceo,empowerement
2075,challenge,No theme
2081,champion,No theme
2082,championship,No theme
2099,change,No theme
2109,character,No theme
2148,cheat,female stereotypes
2201,chief,empowerement
2203,child,female stereotypes
2221,chinese,No theme
2236,choice,No theme
2243,choose,No theme
2278,church,No theme
2289,cinema,No theme
2314,claim,No theme
2375,clothe,No theme
2390,coach,No theme
2408,code,No theme
2440,college,No theme
2464,combat,No theme
2482,comment,No theme
2487,commission,No theme
2489,commit,female stereotypes
2501,community,No theme
2505,company,No theme
2521,complaint,No theme
2583,congress,No theme
2650,control,No theme
2653,controversy,No theme
2662,convict,violence
2679,cop,violence
2738,couple,No theme
2744,court,violence
2775,crash,violence
2800,crew,No theme
2803,cricket,No theme
2804,cricketer,No theme
2805,crime,violence
2850,crush,No theme
2852,cry,female stereotypes
2878,culture,No theme
2883,cup,No theme
2910,cut,No theme
2935,dad,No theme
2956,dalit,No theme
2968,dance,No theme
2993,dark,No theme
3006,date,No theme
3009,daughter,female stereotypes
3033,dead,violence
3043,death,violence
3046,debate,No theme
3051,debut,No theme
3054,decade,No theme
3089,deepika,No theme
3106,defend,violence
3138,deliver,No theme
3145,demand,No theme
3180,deny,No theme
3201,depression,No theme
3226,design,No theme
3228,designer,No theme
3339,die,violence
3344,diet,No theme
3347,different,No theme
3397,director,empowerement
3426,discover,No theme
3435,disease,No theme
3491,district,No theme
3509,divorce,female stereotypes
3524,doctor,empowerement
3541,domestic,female stereotypes
3544,dominate,No theme
3551,donald,No theme
3561,door,No theme
3580,double,No theme
3591,dowry,No theme
3598,drag,No theme
3611,draw,No theme
3617,dream,empowerement
3621,dress,female stereotypes
3627,drink,No theme
3630,driver,No theme
3637,drown,violence
3638,drug,violence
3641,drunk,No theme
3680,dump,No theme
3725,early,No theme
3727,earn,No theme
3773,education,empowerement
3798,elderly,No theme
3800,elect,No theme
3801,election,No theme
3865,emotional,female stereotypes
3875,employee,empowerement
3878,empower,empowerement
3880,empowerment,No theme
3907,engineer,No theme
3909,england,No theme
3942,entrepreneur,empowerement
3945,entry,No theme
3959,equal,empowerement
3961,equality,empowerement
3985,escape,violence
4042,event,No theme
4059,exam,No theme
4085,executive,No theme
4115,experience,No theme
4118,expert,empowerement
4119,explain,No theme
4132,express,No theme
4166,facebook,No theme
4171,fact,No theme
4179,fail,No theme
4189,fake,No theme
4194,fall,violence
4205,family,female stereotypes
4206,famous,No theme
4214,far,No theme
4222,farmer,No theme
4232,fashion,No theme
4236,fast,No theme
4238,fat,No theme
4243,father,No theme
4259,fear,female stereotypes
4265,feature,No theme
4273,feed,No theme
4276,feel,female stereotypes
4293,feminism,No theme
4294,feminist,female stereotypes
4316,festival,No theme
4339,field,No theme
4346,fight,violence
4348,fighter,No theme
4355,file,No theme
4385,fire,violence
4391,firm,No theme
4394,first,No theme
4402,fit,No theme
4446,floor,No theme
4450,florida,No theme
4466,focus,No theme
4477,food,No theme
4482,foot,No theme
4484,football,No theme
4491,forbe,No theme
4494,force,No theme
4514,forget,No theme
4534,founder,empowerement
4564,freedom,empowerement
4614,fund,No theme
4630,future,No theme
4641,gadot,No theme
4651,gal,female stereotypes
4665,gandhi,No theme
4670,gang,violence
4674,gangrape,violence
4679,gap,No theme
4719,gay,No theme
4745,gender,No theme
4761,genital,No theme
4785,gets,No theme
4834,girlfriend,female stereotypes
4848,glass,No theme
4856,global,No theme
4893,gold,No theme
4894,golden,No theme
4916,google,No theme
4952,government,No theme
4955,govt,No theme
5008,great,No theme
5052,grow,No theme
5061,guard,No theme
5076,guilty,violence
5091,gun,violence
5120,guy,No theme
5143,hair,No theme
5196,hang,No theme
5214,harass,violence
5217,harassment,violence
5255,haryana,No theme
5274,hate,violence
5299,head,No theme
5313,health,No theme
5319,heart,No theme
5357,help,No theme
5384,hero,No theme
5407,hijab,No theme
5431,hindu,No theme
5445,hire,No theme
5451,history,No theme
5452,hit,violence
5460,hockey,No theme
5471,hollywood,No theme
5479,home,No theme
5508,honour,No theme
5519,hope,No theme
5535,horror,violence
5542,hospital,violence
5551,hot,No theme
5552,hotel,No theme
5586,human,No theme
5612,hurt,No theme
5614,husband,No theme
5641,ias,No theme
5701,image,No theme
5742,important,No theme
5780,include,No theme
5790,increase,No theme
5883,injure,violence
5920,inspire,empowerement
5921,inspiring,No theme
5923,instagram,No theme
5974,internet,No theme
5985,interview,No theme
6044,iron,No theme
6066,isis,No theme
6070,islamic,No theme
6084,issue,No theme
6120,jail,violence
6157,japan,No theme
6158,japanese,No theme
6176,jayalalithaa,No theme
6226,jharkhand,No theme
6250,job,empowerement
6291,journalist,No theme
6292,journey,No theme
6300,judge,violence
6330,justice,violence
6494,key,No theme
6528,kid,female stereotypes
6530,kidnap,violence
6537,kill,violence
6538,killer,violence
6561,kiss,No theme
6697,lack,No theme
6721,lakh,No theme
6775,later,No theme
6789,launch,empowerement
6799,law,violence
6803,lawyer,empowerement
6810,lead,empowerement
6811,leader,empowerement
6812,leadership,empowerement
6814,league,No theme
6824,learn,No theme
6845,legal,No theme
6887,lesson,No theme
6893,level,No theme
6921,lie,female stereotypes
6931,lift,No theme
6934,light,No theme
6982,little,No theme
7004,lock,No theme
7023,london,No theme
7039,lose,No theme
7041,loss,No theme
7043,lot,No theme
7053,love,female stereotypes
7057,lover,female stereotypes
7059,low,No theme
7074,lucknow,No theme
7172,maharashtra,No theme
7199,major,No theme
7205,makeup,female stereotypes
7224,male,No theme
7250,mamata,No theme
7256,man,No theme
7345,march,No theme
7371,mark,No theme
7380,marriage,female stereotypes
7381,married,female stereotypes
7383,marry,female stereotypes
7461,matter,No theme
7508,mean,No theme
7520,medal,No theme
7527,medical,No theme
7573,member,No theme
7631,metoo,No theme
7633,metro,No theme
7660,middle,No theme
7688,military,No theme
7702,mind,No theme
7714,minister,empowerement
7719,minor,No theme
7723,minute,No theme
7766,mission,No theme
7772,mistake,No theme
7790,mla,No theme
7804,model,No theme
7807,modern,No theme
7831,molest,No theme
7837,mom,female stereotypes
7849,money,No theme
7941,movement,No theme
7942,movie,No theme
7993,mum,female stereotypes
8010,murder,violence
8028,music,No theme
8032,muslim,No theme
8039,mutilation,No theme
8049,mystery,No theme
8069,nadu,No theme
8130,nasa,No theme
8161,navy,No theme
8251,newborn,female stereotypes
8279,nick,No theme
8335,noida,No theme
8358,north,No theme
8370,note,No theme
8380,novel,No theme
8476,officer,empowerement
8492,olympic,No theme
8504,online,No theme
8523,opinion,No theme
8552,order,No theme
8577,oscar,No theme
8608,outrage,violence
8693,pain,No theme
8702,pak,No theme
8793,parent,empowerement
8833,partner,No theme
8836,party,No theme
8845,passenger,No theme
8853,past,No theme
8983,perfect,empowerement
8986,perform,No theme
8987,performance,No theme
8994,period,No theme
9011,person,No theme
9012,personal,No theme
9089,pic,No theme
9117,pilot,No theme
9125,pink,No theme
9161,plane,No theme
9177,player,No theme
9222,point,No theme
9236,police,violence
9244,politic,No theme
9245,political,No theme
9247,politician,No theme
9251,poll,No theme
9280,poor,No theme
9311,pose,No theme
9346,power,empowerement
9348,powerful,empowerement
9371,praise,No theme
9404,pregnancy,female stereotypes
9405,pregnant,No theme
9432,president,No theme
9440,pretty,female stereotypes
9453,priest,No theme
9458,prince,No theme
9459,princess,female stereotypes
9468,prison,violence
9474,private,No theme
9489,probe,No theme
9522,project,No theme
9528,promise,No theme
9531,promote,No theme
9546,property,No theme
9565,protect,No theme
9571,protest,empowerement
9576,proud,No theme
9578,prove,No theme
9602,publish,No theme
9625,pune,No theme
9692,queen,empowerement
9697,question,No theme
9710,quit,No theme
9727,race,No theme
9767,rahul,No theme
9773,railway,No theme
9781,raise,No theme
9787,rajasthan,No theme
9816,rally,No theme
9818,ram,No theme
9858,rank,No theme
9868,rape,violence
9872,rapist,violence
9875,rare,No theme
9925,reach,No theme
9926,react,No theme
9931,ready,No theme
9936,reality,No theme
9943,reason,No theme
9955,recall,No theme
9981,record,No theme
10068,reject,No theme
10077,relationship,female stereotypes
10085,release,No theme
10103,remark,No theme
10147,reply,No theme
10149,reporter,No theme
10164,rescue,No theme
10194,respect,No theme
10198,response,No theme
10227,reunite,No theme
10233,reveal,No theme
10277,rich,No theme
10301,ring,No theme
10313,rise,empowerement
10316,risk,violence
10401,room,No theme
10444,royal,No theme
10471,rule,No theme
10477,rumour,No theme
10487,rural,No theme
10506,sabarimala,No theme
10509,sabha,No theme
10536,safe,No theme
10540,safety,No theme
10596,salman,No theme
10735,saudi,No theme
10739,save,No theme
10780,scheme,No theme
10787,school,No theme
10796,science,No theme
10798,scientist,empowerement
10823,screen,No theme
10847,search,No theme
10849,seat,No theme
10856,secret,No theme
10864,security,violence
10887,selfie,No theme
10904,senior,No theme
10912,sentence,violence
10931,serve,No theme
10933,service,No theme
10952,sex,female stereotypes
10953,sexism,female stereotypes
10954,sexist,female stereotypes
10957,sexual,female stereotypes
10961,sexually,female stereotypes
10962,sexy,female stereotypes
11005,shame,No theme
11122,shock,No theme
11125,shocking,No theme
11131,shoot,violence
11135,shop,female stereotypes
11143,short,No theme
11225,sikh,No theme
11229,silence,No theme
11259,sing,No theme
11263,singer,No theme
11268,single,female stereotypes
11273,sinha,No theme
11286,sit,No theme
11297,size,No theme
11318,skin,No theme
11339,slam,violence
11341,slap,No theme
11378,small,No theme
11387,smile,No theme
11443,society,No theme
11457,soldier,No theme
11474,son,No theme
11482,song,No theme
11491,soon,No theme
11515,south,No theme
11524,space,No theme
11548,special,No theme
11559,speech,No theme
11598,sport,No theme
11650,stab,violence
11658,staff,No theme
11661,stage,No theme
11669,stalk,No theme
11680,stand,No theme
11687,star,empowerement
11697,startup,No theme
11706,statue,No theme
11712,steal,violence
11731,stereotype,No theme
11739,stick,No theme
11760,stone,No theme
11813,strike,No theme
11816,strip,No theme
11822,strong,empowerement
11828,struggle,No theme
11833,student,No theme
11835,study,No theme
11848,style,No theme
11871,success,empowerement
11872,successful,empowerement
11889,sue,No theme
11890,suffer,violence
11911,suicide,violence
11953,sunny,No theme
11982,support,female stereotypes
11987,supreme,No theme
12001,surgery,No theme
12020,survive,empowerement
12021,survivor,empowerement
12030,suspect,violence
12031,suspend,No theme
12089,swift,No theme
12154,talaq,No theme
12155,tale,No theme
12170,tamil,No theme
12215,target,No theme
12233,tattoo,No theme
12245,taylor,No theme
12253,teach,No theme
12254,teacher,No theme
12257,tear,No theme
12270,teen,No theme
12271,teenage,No theme
12273,teenager,No theme
12289,temple,No theme
12299,tennis,No theme
12306,teresa,No theme
12309,term,No theme
12394,thrash,No theme
12396,threat,No theme
12397,threaten,violence
12429,tie,No theme
12434,tiger,No theme
12446,time,No theme
12470,title,No theme
12480,toddler,No theme
12487,toilet,No theme
12508,tongue,No theme
12518,top,No theme
12529,torture,No theme
12534,touch,No theme
12549,track,No theme
12580,trans,No theme
12588,transgender,No theme
12605,trap,No theme
12619,treat,No theme
12620,treatment,No theme
12622,tree,No theme
12633,trial,violence
12635,tribal,No theme
12650,trip,No theme
12652,triple,No theme
12663,troll,No theme
12685,true,No theme
12690,truth,No theme
12741,tweet,No theme
12745,twice,No theme
12747,twin,No theme
12753,twitter,No theme
12767,uber,No theme
12904,university,No theme
13012,uttar,No theme
13162,victim,female stereotypes
13177,view,No theme
13215,violence,violence
13260,vogue,No theme
13261,voice,empowerement
13271,vote,No theme
13302,wake,No theme
13307,walk,No theme
13310,wall,No theme
13321,war,violence
13330,warn,No theme
13368,wear,No theme
13376,wedding,female stereotypes
13388,weight,female stereotypes
13400,west,No theme
13420,white,No theme
13436,wife,female stereotypes
13460,win,empowerement
13470,wing,No theme
13508,wonder,No theme
13516,work,empowerement
13518,worker,empowerement
13523,workplace,No theme
13535,worth,empowerement
13552,write,No theme
13553,writer,No theme
13555,wrong,No theme
13613,young,No theme
13616,youth,No theme
13677,accidentally,No theme
13731,aka,No theme
13735,album,No theme
13741,alight,No theme
13745,alleged,violence
13788,appeal,No theme
13800,armed,violence
13865,bae,No theme
13868,bail,violence
13869,bakkie,No theme
13888,bathabile,No theme
13893,bay,No theme
13894,beach,No theme
13903,bed,No theme
13913,behead,No theme
13964,blind,No theme
13986,boity,No theme
13995,boost,No theme
14044,brutal,No theme
14049,building,No theme
14050,bull,No theme
14051,bullet,No theme
14060,bury,No theme
14068,bust,No theme
14084,camp,No theme
14097,capture,No theme
14109,cash,No theme
14113,caster,No theme
14165,chef,No theme
14189,christmas,No theme
14201,clear,No theme
14210,clinic,No theme
14219,cocaine,No theme
14228,collapse,No theme
14256,con,No theme
14311,councillor,No theme
14335,critical,No theme
14344,crown,No theme
14406,declare,No theme
14415,defence,No theme
14438,deputy,empowerement
14441,describe,No theme
14442,deserve,No theme
14452,devastate,No theme
14477,disabled,No theme
14506,dlamini,No theme
14533,drama,female stereotypes
14567,east,No theme
14568,eastern,No theme
14604,embrace,No theme
14653,evidence,No theme
14673,expose,No theme
14703,farm,No theme
14710,fate,No theme
14760,firefighter,No theme
14776,flood,No theme
14818,fraud,violence
14835,funeral,No theme
14846,gallery,No theme
14865,generation,No theme
14911,grace,female stereotypes
14912,grade,No theme
14913,graduate,empowerement
14924,granny,No theme
14925,grant,No theme
14937,ground,No theme
14962,hail,No theme
14971,handbag,No theme
15008,heavy,No theme
15011,heist,No theme
15030,hijacking,No theme
15041,hiv,No theme
15069,hubby,No theme
15075,hunt,No theme
15088,idol,No theme
15108,incident,No theme
15128,injury,violence
15156,investigate,No theme
15185,jayde,No theme
15230,kenya,No theme
15243,khumalo,No theme
15248,kidnapping,violence
15253,killing,violence
15256,king,No theme
15269,krugersdorp,No theme
15285,language,No theme
15310,legacy,No theme
15313,leigh,No theme
15318,lerato,No theme
15338,lille,No theme
15342,lindiwe,No theme
15344,lion,No theme
15391,madiba,No theme
15394,madjozi,No theme
15421,mall,No theme
15423,mama,female stereotypes
15425,mamelodi,No theme
15437,mantsoe,No theme
15469,matric,No theme
15471,maul,No theme
15476,mayor,empowerement
15478,mazwai,No theme
15492,mec,No theme
15499,meghan,No theme
15505,memorial,No theme
15506,memory,No theme
15509,mental,No theme
15537,minnie,No theme
15553,mkhwebane,No theme
15567,mokoena,No theme
15606,motsepe,No theme
15610,mountain,No theme
15611,mourn,No theme
15620,mpumalanga,No theme
15621,mrs,female stereotypes
15637,murderer,violence
15654,mzansi,No theme
15655,nab,No theme
15665,nation,No theme
15670,ncwane,No theme
15683,neighbour,No theme
15707,nigerian,No theme
15710,ninow,No theme
15734,npa,No theme
15739,nurse,female stereotypes
15775,ordeal,No theme
15795,owner,empowerement
15810,panayiotou,No theme
15822,paris,No theme
15824,parliament,No theme
15838,pastor,No theme
15842,patient,female stereotypes
15850,pearl,No theme
15856,penis,No theme
15882,phoenix,No theme
15903,pit,No theme
15912,plead,violence
15926,poison,No theme
15943,poppie,No theme
15946,port,No theme
15948,position,No theme
15958,pour,No theme
15967,pray,No theme
15974,premier,No theme
15976,prepare,No theme
16000,prize,No theme
16022,protea,No theme
16025,protector,No theme
16036,pupil,No theme
16054,racist,violence
16070,range,No theme
16078,rapper,No theme
16100,recount,No theme
16101,recover,No theme
16108,reeva,No theme
16112,reflect,No theme
16116,regret,No theme
16126,relive,No theme
16140,represent,No theme
16151,resign,No theme
16158,rest,No theme
16188,river,No theme
16192,rob,violence
16193,robber,violence
16194,robbery,violence
16215,rugby,No theme
16248,sangoma,No theme
16250,sap,No theme
16252,sassa,No theme
16263,scam,No theme
16265,scandal,No theme
16273,schoolgirl,No theme
16282,sea,No theme
16343,sho,No theme
16350,shooting,violence
16358,shot,No theme
16361,showbiz,No theme
16369,siam,No theme
16375,sight,No theme
16389,sisulu,No theme
16413,slay,No theme
16429,snake,No theme
16430,snap,No theme
16449,somizi,No theme
16457,soul,No theme
16480,spirit,No theme
16525,stellenbosch,No theme
16528,stepfather,No theme
16540,store,No theme
16541,storm,No theme
16544,strangle,No theme
16606,susan,No theme
16616,sweep,No theme
16617,sweet,No theme
16627,table,No theme
16637,tambo,No theme
16648,taxi,No theme
16651,tea,No theme
16670,testify,No theme
16727,tough,No theme
16739,traffic,No theme
16740,trafficking,No theme
16776,truck,No theme
16785,tumi,No theme
16801,uct,No theme
16826,universe,No theme
16844,uyinene,No theme
16854,van,No theme
16894,vow,No theme
16946,widow,female stereotypes
16959,wine,No theme
16962,winner,empowerement
16966,witbank,No theme
16970,witness,No theme
16973,womens,No theme
16975,womensmonth,No theme
17014,zephany,No theme
29137,accuser,No theme
29160,actually,No theme
29172,address,No theme
29257,agent,No theme
29291,alabama,No theme
29390,amanda,No theme
29398,amber,No theme
29509,apartment,No theme
29515,apologize,No theme
29564,area,No theme
29582,arizona,No theme
29697,attorney,No theme
29730,authority,empowerement
29788,bachelor,No theme
29797,backlash,No theme
29842,ball,No theme
29919,basketball,No theme
29933,bathroom,No theme
30024,bell,No theme
30112,bieber,No theme
30122,bikini,female stereotypes
30126,billboard,No theme
30150,bird,No theme
30183,blake,No theme
30318,border,No theme
30357,bowl,No theme
30448,bridge,No theme
30485,bronx,No theme
30496,brown,No theme
30556,bump,No theme
30593,bush,No theme
30605,butt,No theme
30687,cancel,No theme
30735,card,No theme
30770,carpet,No theme
30775,carrie,No theme
30881,center,No theme
30957,chase,No theme
30998,chicago,No theme
31047,chris,No theme
31054,christian,No theme
31057,christina,No theme
31176,clip,No theme
31271,color,No theme
31272,colorado,No theme
31294,comedy,No theme
31296,comfort,No theme
31299,comic,No theme
31368,concert,No theme
31399,confront,No theme
31496,cookie,No theme
31500,cooper,No theme
31540,cortez,No theme
31556,costume,No theme
31628,crazy,female stereotypes
31633,creator,No theme
31637,credit,No theme
31661,critic,No theme
31692,cruise,No theme
31755,custody,No theme
31783,cyrus,No theme
31791,daily,No theme
31820,dangerous,No theme
31920,decision,No theme
31953,defense,violence
32007,democratic,No theme
32138,diary,No theme
32151,diego,No theme
32204,disappearance,No theme
32225,discrimination,No theme
32226,discuss,No theme
32237,dish,No theme
32246,disney,No theme
32314,documentary,No theme
32326,doll,No theme
32406,dragon,No theme
32730,engage,No theme
32732,engagement,No theme
32778,episode,No theme
33008,fame,No theme
33047,fatal,No theme
33049,fatally,No theme
33143,fiance,No theme
33164,figure,No theme
33178,finale,No theme
33248,flee,No theme
33364,fox,No theme
33459,fun,No theme
33469,funny,No theme
33491,gain,No theme
33593,george,No theme
33696,globe,No theme
33710,goat,No theme
33727,golf,No theme
33731,gomez,No theme
33749,gop,No theme
33764,gossip,female stereotypes
33795,grammy,No theme
33803,grandma,female stereotypes
33874,grope,No theme
33901,guest,No theme
33903,guide,No theme
33977,hall,No theme
33982,halloween,No theme
34218,hilarious,No theme
34222,hill,No theme
34237,historic,No theme
34282,homeless,No theme
34305,honor,No theme
34359,housewife,female stereotypes
34449,ice,No theme
34452,iconic,No theme
34456,idea,No theme
34459,identity,No theme
34727,investigation,No theme
34782,island,No theme
34859,jean,No theme
34887,jersey,No theme
34941,joke,No theme
35009,justin,No theme
35161,kinney,No theme
35194,knife,violence
35251,ksl,No theme
35298,lake,No theme
35340,las,No theme
35358,laugh,No theme
35365,laura,No theme
35379,lawmaker,No theme
35383,lawsuit,violence
35590,lively,No theme
35686,lovato,No theme
35800,magazine,No theme
35871,manager,empowerement
35882,manhattan,No theme
35919,marathon,No theme
35938,maria,No theme
35949,marine,No theme
35999,marvel,No theme
36161,melania,No theme
36171,memba,No theme
36177,memoir,No theme
36253,michelle,No theme
36254,michigan,No theme
36286,miley,No theme
36405,mock,No theme
36453,monster,No theme
36479,morning,No theme
36686,neighbor,No theme
36705,netflix,No theme
36737,nfl,No theme
36871,nyc,No theme
36876,nypd,No theme
36939,ohio,No theme
37170,pant,No theme
37330,pen,No theme
37380,perry,No theme
37540,plastic,No theme
37566,plot,No theme
37610,politico,No theme
37640,pop,No theme
37642,pope,No theme
37680,possible,No theme
37698,pound,No theme
37750,premiere,No theme
37819,pro,No theme
37832,producer,No theme
37878,prosecutor,No theme
38136,reaction,No theme
38233,reese,No theme
38351,reportedly,No theme
38362,republican,No theme
38401,restaurant,No theme
38525,rip,No theme
38562,robert,No theme
38607,romance,No theme
38664,rousey,No theme
38700,rumor,No theme
38727,ryan,No theme
38764,sale,No theme
38788,san,No theme
38916,scott,No theme
39025,serial,No theme
39154,shirt,No theme
39163,shoe,No theme
39203,shut,No theme
39261,simpson,No theme
39352,slaying,No theme
39433,snl,No theme
39457,soccer,No theme
39468,soda,No theme
39530,sound,No theme
39534,source,No theme
39570,spear,No theme
39613,split,No theme
39762,stewart,No theme
39900,subway,No theme
39939,summer,No theme
39945,sun,No theme
39961,superhero,No theme
40153,tape,No theme
40269,text,No theme
40334,throne,No theme
40806,union,No theme
40894,usa,No theme
40905,utah,No theme
40929,valley,No theme
40945,vanish,No theme
40960,vegas,No theme
41013,victoria,No theme
41057,virginia,No theme
41106,voter,No theme
41179,washington,No theme
41220,weekend,No theme
41305,wild,No theme
41315,williams,No theme
41347,winter,No theme
41358,witherspoon,No theme
41384,wood,No theme
17202,aged,No theme
17215,agony,No theme
17626,attacker,No theme
17796,band,No theme
17910,bbc,No theme
18107,bit,No theme
18111,bizarre,No theme
18143,blast,No theme
18189,blow,No theme
18290,bottle,No theme
18412,brit,No theme
18685,cardiff,No theme
18792,cctv,No theme
18865,channel,No theme
18886,charlotte,No theme
18932,cheryl,No theme
19412,cool,No theme
19476,council,No theme
19574,criticise,No theme
19960,desperate,No theme
20012,diagnose,No theme
20065,dinner,No theme
20168,ditch,No theme
20269,downton,No theme
20334,duchess,female stereotypes
20466,egg,No theme
20549,emma,No theme
20722,evil,No theme
20828,factor,No theme
20915,favourite,No theme
21083,flash,No theme
21160,footage,No theme
21326,furious,No theme
21382,garden,No theme
21471,ghost,No theme
21475,giant,No theme
21520,glasgow,No theme
21671,green,No theme
21890,harry,No theme
21967,heartbreaking,No theme
21993,heel,No theme
22009,hell,No theme
22196,horrific,violence
22202,horse,No theme
22333,ign,No theme
22341,ill,No theme
22424,incredible,No theme
22524,instead,No theme
22969,kind,female stereotypes
23011,knock,No theme
23065,labour,No theme
23234,lesbian,No theme
23331,lip,No theme
23351,liverpool,No theme
23415,loose,female stereotypes
23630,manchester,No theme
23735,mary,No theme
23824,mcdonald,No theme
24009,mile,No theme
24060,miracle,No theme
24448,newcastle,No theme
24544,nose,No theme
24726,orgasm,No theme
24763,outfit,No theme
24839,paedophile,No theme
24854,pal,No theme
25106,pet,No theme
25187,pill,No theme
25273,plymouth,No theme
25367,portrait,No theme
25480,price,No theme
25722,rage,violence
25769,rant,No theme
25832,recent,No theme
26010,research,No theme
26071,revenge,No theme
26310,rush,No theme
26513,scot,No theme
26525,scream,No theme
26619,seriously,No theme
26705,shed,No theme
26800,sick,No theme
26923,slave,No theme
26976,smash,No theme
27159,spice,No theme
27161,spider,No theme
27213,spy,No theme
27380,stranger,No theme
27435,stun,No theme
27437,stunning,No theme
27488,suggest,No theme
27505,sunday,No theme
27647,syndrome,No theme
27649,syria,No theme
27814,terrifying,No theme
27817,terror,No theme
27846,thatcher,No theme
27850,theatre,No theme
27896,thug,violence
27935,tinder,No theme
27987,tooth,No theme
28027,toy,No theme
28050,tragedy,No theme
28051,tragic,No theme
28073,transform,No theme
28131,trick,No theme
28185,tube,No theme
28197,tumour,No theme
28261,ugly,No theme
28396,unveil,No theme
28449,vagina,No theme
28552,viewer,No theme
28573,violent,violence
28653,wale,No theme
28720,watson,No theme
28734,weather,No theme
28768,welsh,No theme
28860,window,No theme
28863,windsor,No theme
