,word,rank,country,theme
220,man,1,All countries,No theme
143,first,2,All countries,empowerment
200,kill,3,All countries,crime and violence
102,die,4,All countries,crime and violence
28,baby,5,All countries,female stereotypes
261,police,6,All countries,crime and violence
94,death,7,All countries,crime and violence
66,child,8,All countries,female stereotypes
92,daughter,9,All countries,female stereotypes
237,murder,10,All countries,crime and violence
20,arrest,11,All countries,crime and violence
282,rape,12,All countries,crime and violence
364,time,13,All countries,No theme
132,family,14,All countries,female stereotypes
173,home,15,All countries,No theme
294,reveal,16,All countries,No theme
217,love,17,All countries,female stereotypes
40,black,18,All countries,"race, ethnicity and identity"
168,help,19,All countries,No theme
2,accuse,20,All countries,crime and violence
181,husband,21,All countries,No theme
93,dead,22,All countries,crime and violence
400,young,23,All countries,No theme
25,attack,24,All countries,crime and violence
336,star,25,All countries,empowerment
312,sex,26,All countries,female stereotypes
266,pregnant,27,All countries,female stereotypes
71,claim,28,All countries,No theme
140,fight,29,All countries,crime and violence
393,win,30,All countries,empowerment
44,body,31,All countries,female stereotypes
395,work,32,All countries,empowerment
215,lose,33,All countries,No theme
318,shoot,34,All countries,crime and violence
305,school,35,All countries,No theme
392,wife,36,All countries,female stereotypes
234,mom,37,All countries,female stereotypes
23,assault,38,All countries,crime and violence
80,court,39,All countries,crime and violence
172,hit,40,All countries,crime and violence
207,lead,41,All countries,empowerment
304,save,42,All countries,No theme
46,boy,43,All countries,No theme
0,abuse,44,All countries,crime and violence
135,father,45,All countries,No theme
47,boyfriend,46,All countries,No theme
63,change,47,All countries,No theme
39,birth,48,All countries,female stereotypes
142,fire,49,All countries,crime and violence
359,teen,50,All countries,No theme
191,jail,51,All countries,crime and violence
131,fall,52,All countries,crime and violence
77,cop,53,All countries,crime and violence
213,little,54,All countries,No theme
34,beat,55,All countries,crime and violence
193,job,56,All countries,empowerment
176,hospital,57,All countries,crime and violence
146,force,58,All countries,crime and violence
313,sexual,59,All countries,female stereotypes
165,head,60,All countries,No theme
379,victim,61,All countries,female stereotypes
205,law,62,All countries,crime and violence
198,kid,63,All countries,female stereotypes
139,feel,64,All countries,female stereotypes
387,wear,65,All countries,No theme
342,student,66,All countries,No theme
106,doctor,67,All countries,empowerment
14,allegedly,68,All countries,crime and violence
391,white,69,All countries,"race, ethnicity and identity"
276,queen,70,All countries,empowerment
161,hair,71,All countries,female stereotypes
333,stab,72,All countries,crime and violence
59,celebrate,73,All countries,No theme
27,award,74,All countries,empowerment
91,date,75,All countries,No theme
388,wedding,76,All countries,female stereotypes
329,south,77,All countries,people and places
152,gender,78,All countries,"race, ethnicity and identity"
343,study,79,All countries,No theme
50,brother,80,All countries,No theme
225,marry,81,All countries,female stereotypes
114,driver,82,All countries,No theme
112,dress,83,All countries,female stereotypes
244,officer,84,All countries,empowerment
171,history,85,All countries,No theme
33,bear,86,All countries,No theme
167,heart,87,All countries,No theme
251,parent,88,All countries,empowerment
262,power,89,All countries,empowerment
267,president,90,All countries,No theme
219,male,91,All countries,No theme
349,support,92,All countries,female stereotypes
253,party,93,All countries,No theme
381,violence,94,All countries,crime and violence
32,battle,95,All countries,crime and violence
78,coronavirus,96,All countries,No theme
116,drug,97,All countries,crime and violence
204,launch,98,All countries,empowerment
88,dad,99,All countries,No theme
29,bad,100,All countries,No theme
6,actress,101,All countries,female stereotypes
81,crash,102,All countries,crime and violence
337,steal,103,All countries,crime and violence
166,health,104,All countries,No theme
56,cancer,105,All countries,No theme
384,walk,106,All countries,No theme
308,secret,107,All countries,No theme
291,rescue,108,All countries,No theme
377,twitter,109,All countries,people and places
297,rise,110,All countries,empowerment
238,music,111,All countries,No theme
348,suicide,112,All countries,crime and violence
54,business,113,All countries,empowerment
10,age,114,All countries,No theme
326,slam,115,All countries,crime and violence
290,release,116,All countries,No theme
53,burn,117,All countries,crime and violence
353,suspect,118,All countries,crime and violence
346,sue,119,All countries,No theme
390,west,120,All countries,people and places
134,fashion,121,All countries,No theme
288,record,122,All countries,No theme
224,marriage,123,All countries,female stereotypes
273,protest,124,All countries,empowerment
99,deny,125,All countries,No theme
111,dream,126,All countries,empowerment
235,money,127,All countries,No theme
13,allege,128,All countries,crime and violence
324,single,129,All countries,female stereotypes
156,great,130,All countries,empowerment
136,fear,131,All countries,female stereotypes
127,explain,132,All countries,No theme
335,stand,133,All countries,No theme
368,transgender,134,All countries,"race, ethnicity and identity"
3,act,135,All countries,No theme
174,hope,136,All countries,No theme
58,career,137,All countries,empowerment
270,prison,138,All countries,crime and violence
194,judge,139,All countries,crime and violence
201,killer,140,All countries,crime and violence
196,kardashian,141,All countries,people and places
87,cut,142,All countries,No theme
281,raise,143,All countries,No theme
7,admit,144,All countries,No theme
332,sport,145,All countries,No theme
208,leader,146,All countries,empowerment
301,rule,147,All countries,No theme
236,movie,148,All countries,No theme
357,teacher,149,All countries,empowerment
57,care,150,All countries,female stereotypes
309,sentence,151,All countries,crime and violence
36,beauty,152,All countries,female stereotypes
55,campaign,153,All countries,empowerment
306,search,154,All countries,No theme
31,ban,155,All countries,No theme
396,worker,156,All countries,empowerment
385,war,157,All countries,crime and violence
233,model,158,All countries,No theme
257,pic,159,All countries,No theme
103,director,160,All countries,empowerment
186,inspire,161,All countries,empowerment
22,artist,162,All countries,empowerment
153,girlfriend,163,All countries,female stereotypes
45,boss,164,All countries,empowerment
89,dance,165,All countries,No theme
328,song,166,All countries,No theme
398,write,167,All countries,No theme
16,american,168,All countries,people and places
246,online,169,All countries,No theme
195,justice,170,All countries,crime and violence
130,fake,171,All countries,No theme
96,defend,172,All countries,crime and violence
119,elderly,173,All countries,No theme
314,sexually,174,All countries,female stereotypes
151,gang,175,All countries,crime and violence
86,cup,176,All countries,No theme
159,gun,177,All countries,crime and violence
341,struggle,178,All countries,No theme
210,learn,179,All countries,No theme
323,singer,180,All countries,empowerment
382,voice,181,All countries,empowerment
157,grow,182,All countries,No theme
129,fail,183,All countries,No theme
37,believe,184,All countries,No theme
394,wonder,185,All countries,No theme
199,kidnap,186,All countries,crime and violence
289,relationship,187,All countries,female stereotypes
128,facebook,188,All countries,people and places
12,alive,189,All countries,No theme
277,question,190,All countries,No theme
144,food,191,All countries,No theme
26,attempt,192,All countries,No theme
95,debut,193,All countries,No theme
247,order,194,All countries,No theme
187,instagram,195,All countries,people and places
184,injure,196,All countries,crime and violence
82,crime,197,All countries,crime and violence
61,challenge,198,All countries,No theme
242,north,199,All countries,No theme
189,interview,200,All countries,No theme
73,comment,201,All countries,No theme
21,art,202,All countries,No theme
350,surgery,203,All countries,No theme
351,survive,204,All countries,empowerment
268,prince,205,All countries,No theme
35,beautiful,206,All countries,female stereotypes
362,threaten,207,All countries,crime and violence
347,suffer,208,All countries,crime and violence
84,cry,209,All countries,female stereotypes
239,muslim,210,All countries,"race, ethnicity and identity"
60,ceo,211,All countries,empowerment
74,company,212,All countries,No theme
163,harassment,213,All countries,crime and violence
211,lie,214,All countries,female stereotypes
376,twin,215,All countries,No theme
175,horror,216,All countries,crime and violence
158,guilty,217,All countries,crime and violence
214,london,218,All countries,people and places
72,coach,219,All countries,empowerment
298,risk,220,All countries,crime and violence
383,vote,221,All countries,No theme
15,allow,222,All countries,No theme
245,olympic,223,All countries,empowerment
286,reason,224,All countries,No theme
360,teenage,225,All countries,No theme
164,hate,226,All countries,crime and violence
190,issue,227,All countries,No theme
355,taylor,228,All countries,people and places
371,trial,229,All countries,crime and violence
113,drink,230,All countries,No theme
228,mean,231,All countries,No theme
302,safe,232,All countries,No theme
265,pregnancy,233,All countries,female stereotypes
331,special,234,All countries,No theme
248,oscar,235,All countries,empowerment
375,tweet,236,All countries,No theme
389,weight,237,All countries,female stereotypes
150,future,238,All countries,No theme
216,loss,239,All countries,No theme
105,divorce,240,All countries,female stereotypes
65,chief,241,All countries,empowerment
399,wrong,242,All countries,No theme
229,member,243,All countries,No theme
303,saudi,244,All countries,"race, ethnicity and identity"
269,princess,245,All countries,female stereotypes
223,mark,246,All countries,people and places
263,powerful,247,All countries,empowerment
259,player,248,All countries,No theme
192,jenner,249,All countries,people and places
177,hot,250,All countries,No theme
1,accident,251,All countries,crime and violence
275,prove,252,All countries,No theme
48,breast,253,All countries,female stereotypes
126,experience,254,All countries,No theme
340,strong,255,All countries,empowerment
120,emotional,256,All countries,female stereotypes
38,beyonce,257,All countries,people and places
41,blame,258,All countries,No theme
283,rare,259,All countries,No theme
98,demand,260,All countries,No theme
5,activist,261,All countries,empowerment
339,strike,262,All countries,No theme
124,escape,263,All countries,crime and violence
299,room,264,All countries,No theme
252,partner,265,All countries,No theme
154,gold,266,All countries,No theme
206,lawyer,267,All countries,empowerment
296,ring,268,All countries,No theme
311,service,269,All countries,No theme
278,quit,270,All countries,No theme
162,hang,271,All countries,crime and violence
358,tear,272,All countries,crime and violence
279,race,273,All countries,"race, ethnicity and identity"
344,style,274,All countries,No theme
334,stage,275,All countries,No theme
169,hero,276,All countries,empowerment
51,build,277,All countries,No theme
272,protect,278,All countries,No theme
178,hotel,279,All countries,No theme
386,warn,280,All countries,No theme
107,domestic,281,All countries,crime and violence
317,shock,282,All countries,No theme
284,ready,283,All countries,No theme
145,football,284,All countries,No theme
19,anti,285,All countries,No theme
222,march,286,All countries,empowerment
202,kiss,287,All countries,female stereotypes
354,target,288,All countries,No theme
179,human,289,All countries,No theme
79,couple,290,All countries,No theme
70,church,291,All countries,"race, ethnicity and identity"
240,mystery,292,All countries,No theme
110,drag,293,All countries,No theme
369,treat,294,All countries,No theme
67,china,295,All countries,people and places
256,person,296,All countries,No theme
300,royal,297,All countries,No theme
64,cheat,298,All countries,female stereotypes
366,toddler,299,All countries,female stereotypes
183,include,300,All countries,No theme
203,later,301,All countries,No theme
30,bag,302,All countries,No theme
356,teach,303,All countries,No theme
76,convict,304,All countries,crime and violence
370,treatment,305,All countries,No theme
52,bully,306,All countries,crime and violence
4,action,307,All countries,No theme
280,racist,308,All countries,crime and violence
121,empower,309,All countries,empowerment
125,event,310,All countries,No theme
255,perfect,311,All countries,empowerment
209,league,312,All countries,No theme
287,recall,313,All countries,No theme
321,silence,314,All countries,No theme
243,nurse,315,All countries,female stereotypes
8,advice,316,All countries,No theme
367,track,317,All countries,No theme
18,answer,318,All countries,No theme
250,pain,319,All countries,No theme
43,board,320,All countries,No theme
188,internet,321,All countries,No theme
182,image,322,All countries,No theme
258,pilot,323,All countries,empowerment
9,affair,324,All countries,female stereotypes
330,space,325,All countries,No theme
315,sexy,326,All countries,female stereotypes
212,light,327,All countries,No theme
241,newborn,328,All countries,female stereotypes
373,TRUE,329,All countries,No theme
352,survivor,330,All countries,empowerment
316,shame,331,All countries,female stereotypes
68,chinese,332,All countries,"race, ethnicity and identity"
11,ahead,333,All countries,No theme
293,reunite,334,All countries,No theme
117,drunk,335,All countries,No theme
155,golden,336,All countries,No theme
226,mask,337,All countries,No theme
264,praise,338,All countries,No theme
24,athlete,339,All countries,empowerment
115,drown,340,All countries,crime and violence
149,funeral,341,All countries,crime and violence
109,double,342,All countries,No theme
365,title,343,All countries,empowerment
345,success,344,All countries,empowerment
254,past,345,All countries,No theme
197,key,346,All countries,No theme
295,rich,347,All countries,No theme
104,discover,348,All countries,No theme
378,vaccine,349,All countries,No theme
271,promise,350,All countries,No theme
69,choose,351,All countries,No theme
319,shop,352,All countries,female stereotypes
325,skin,353,All countries,female stereotypes
249,owner,354,All countries,empowerment
83,crush,355,All countries,No theme
118,earn,356,All countries,No theme
160,guy,357,All countries,No theme
147,forget,358,All countries,No theme
372,trip,359,All countries,No theme
230,mental,360,All countries,No theme
310,serve,361,All countries,No theme
185,injury,362,All countries,crime and violence
322,sing,363,All countries,No theme
148,fund,364,All countries,No theme
170,hire,365,All countries,No theme
49,bride,366,All countries,female stereotypes
42,blue,367,All countries,No theme
380,view,368,All countries,No theme
75,control,369,All countries,No theme
361,threat,370,All countries,crime and violence
97,deliver,371,All countries,No theme
137,feature,372,All countries,No theme
260,point,373,All countries,No theme
90,dark,374,All countries,No theme
138,feed,375,All countries,No theme
274,proud,376,All countries,No theme
338,store,377,All countries,No theme
180,hurt,378,All countries,crime and violence
397,worth,379,All countries,empowerment
327,soldier,380,All countries,No theme
218,major,381,All countries,No theme
17,angry,382,All countries,No theme
363,tie,383,All countries,No theme
123,equality,384,All countries,empowerment
62,champion,385,All countries,empowerment
122,equal,386,All countries,empowerment
108,door,387,All countries,No theme
101,designer,388,All countries,empowerment
141,fighter,389,All countries,empowerment
232,minute,390,All countries,No theme
307,seat,391,All countries,No theme
227,matter,392,All countries,No theme
292,response,393,All countries,No theme
285,reality,394,All countries,No theme
85,culture,395,All countries,No theme
320,shut,396,All countries,No theme
231,mind,397,All countries,No theme
100,design,398,All countries,No theme
221,manager,399,All countries,empowerment
374,truth,400,All countries,No theme
133,far,401,All countries,No theme
